
Processing asymmErrorsEff.c...
eff_50_120_barrel.root
eleTruthEta
OK
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh = 1; xbin 740
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 740
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 780
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 780
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  1; errorLow = 0.205568; errorHigh = 0; xbin 780
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.205568; errorHigh = 0; xbin 780
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 820
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 820
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.833333; errorLow = 0.28735; errorHigh = 0.138285; xbin 820
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.264229; errorHigh = 0; xbin 820
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 860
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 860
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  1; errorLow = 0.368878; errorHigh = 0; xbin 860
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 1; errorLow = 0.368878; errorHigh = 0; xbin 860
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0; errorLow = 0; errorHigh = 1; xbin 900
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0; errorLow = 0; errorHigh =  1; xbin 900
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.5; errorLow = 0.417248; errorHigh = 0.417248; xbin 900
